rewardsProductPartnerId,rewardsGroup,pointsEarned,pointsPayerId,pointsNotAwardedReason,reward_id
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1139
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1140
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1141
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1142
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1143
559c2234e4b06aca36af13c6,KRAFT NATURAL CHEESE - SHREDDED,,,,1144
,,,,,1145
,,,,,1146
,,,,,1147
,,,,,1148
,,,,,1149
,,,,,1150
,,,,,1151
,,,,,1152
,,,,,1153
,,,,,1154
,,,,,1155
,,,,,1156
,,,,,1157
,,,,,1158
5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,,5332f5fbe4b03c9a25efd0ba,Action not allowed for user and CPG,1159
5e7cf838f221c312e698a628,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,,,1160
,,,,,1161
,,,,,1162
,,,,,1163
,,,,,1164
,,,,,1165
,,,,,1166
,,,,,1167
,,,,,1168
,,,,,1169
,,,,,1170
,,,,,1171
,,,,,1172
,,,,,1173
5e7cf838f221c312e698a628,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,,,1174
5e7cf838f221c312e698a628,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,,,1175
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,30.0,5332f709e4b03c9a25efd0f1,,1176
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,30.0,5332f709e4b03c9a25efd0f1,,1177
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,30.0,5332f709e4b03c9a25efd0f1,,1178
,,,,,1179
,,,,,1180
5332f5f6e4b03c9a25efd0b4,KNORR SIDES,10.0,5332f5f6e4b03c9a25efd0b4,,1181
5332f5f6e4b03c9a25efd0b4,NEXXUS HAIR CARE,10.0,5332f5f6e4b03c9a25efd0b4,,1182
,,,,,1183
,,,,,1184
,,,,,1185
,,,,,1186
,,,,,1187
5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,10.0,5332f5f6e4b03c9a25efd0b4,,1188
,,,,,1189
,,,,,1190
,,,,,1191
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1192
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1193
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1194
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1195
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1196
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1197
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1198
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1199
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1200
559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5.0,559c2234e4b06aca36af13c6,,1201
5e7cf838f221c312e698a628,SARGENTO STRING OR STICK CHEESE,,,,1202
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1203
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1204
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1205
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1206
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1207
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1208
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1209
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1210
559c2234e4b06aca36af13c6,PLANTERS CASHEWS,50.0,559c2234e4b06aca36af13c6,,1211
